,0,0
0,2200.77,2133.06191518593
1,713.07,1286.02904334613
2,598.9,663.079864686189
3,935,917.769746092088
4,1498,1544.64586782549
5,1775,1284.85764456621
6,1205,1199.22658179125
7,1413.1,1358.35045273219
8,955,1386.51088420412
9,599.9,886.482076673009
10,1427,1120.30915113038
11,889,1168.81098763049
12,767.8,1159.92105611006
13,1899,1596.39713303903
14,1142,1047.49042135463
15,1426.66,1408.1091606514
16,999,1017.95246345262
17,465,268.448036882225
18,1949,1231.16354793993
19,359,168.676469305785
20,819,1163.28795552482
21,949,1182.52572160904
22,2240,1777.06016661108
23,1899,1017.79420099296
24,919,1174.88376306446
25,955,826.942928217486
26,1680,1230.52167858795
27,3659.4,2903.00850541216
28,818.35,978.725478633392
29,784,1035.7285036045
30,1599,1093.78303749324
31,979,882.941927918811
32,800,1010.33526962864
33,663,783.201484746466
34,1299,1682.03935806969
35,735.87,735.758995900825
36,2046,1442.60384944076
37,1869,1661.16387666656
38,1179,969.558713665114
39,675,847.327371693865
40,735.07,912.38955225506
41,1472.2,1356.04175992634
42,729.9,643.79540012734
43,2800,3051.22485963347
44,879,1326.29585345959
45,825,660.724473405716
46,539.95,844.043164736792
47,3588.8,2915.83368280164
48,769.15,820.518032040659
49,1477,1372.53902942248
50,1142.75,1082.3189528612
51,1579,1229.02601837502
52,1268,1347.05983788445
53,1649,1231.16354793993
54,1449,1229.02601837502
55,805.99,907.857372322142
56,708.06,609.356370861544
