,0,0
592,3,4
593,3,4
594,4,3
595,2,3
596,4,3
597,3,3
598,4,3
599,3,3
600,4,4
601,3,4
602,4,3
603,4,4
604,3,3
605,4,3
606,4,4
607,3,3
608,4,3
609,3,3
610,3,3
611,4,4
612,3,3
613,4,3
614,4,4
615,3,3
616,3,3
617,3,4
618,3,4
619,4,4
620,4,3
621,3,3
622,4,3
623,3,3
624,4,4
625,3,3
626,4,3
627,3,3
628,0,3
629,4,3
630,3,3
631,3,3
632,2,3
633,3,3
634,0,3
635,4,3
636,3,3
637,4,3
638,3,3
639,3,3
640,4,4
641,3,3
642,4,3
643,3,4
644,3,3
645,3,3
646,4,3
647,4,4
648,0,4
649,4,3
650,4,3
651,3,4
652,4,3
653,3,3
654,3,3
655,4,3
656,3,4
657,4,4
658,3,4
659,4,4
660,3,3
661,4,4
662,3,3
663,3,4
664,4,3
665,3,3
666,4,0
667,3,3
668,4,3
669,3,3
670,3,3
671,4,4
672,3,4
673,3,4
674,3,3
675,4,4
676,0,4
677,3,3
678,0,4
679,4,3
680,4,4
681,4,4
682,4,4
683,4,3
684,4,3
685,4,4
686,4,4
687,3,4
688,3,4
689,3,4
690,3,3
691,3,4
692,3,3
693,3,3
694,4,3
695,4,4
696,4,3
697,4,3
698,4,4
699,0,4
700,2,4
701,4,3
702,3,3
703,3,3
704,4,4
705,4,4
706,3,4
707,4,3
708,4,3
709,0,3
710,3,3
711,3,3
712,4,4
713,3,3
714,3,4
715,3,3
716,4,3
717,4,3
718,0,3
719,4,4
720,3,3
721,4,3
722,3,4
723,3,3
724,3,3
725,4,3
726,4,3
727,4,3
728,3,3
729,3,3
730,3,4
731,3,3
732,3,4
733,3,3
734,3,3
735,4,4
736,4,3
737,4,3
738,4,3
739,4,4
740,4,4
741,4,3
742,3,3
743,3,3
744,3,3
745,0,4
746,3,3
747,3,3
748,3,3
749,3,3
750,3,3
751,4,3
752,4,3
753,3,4
754,3,3
755,3,4
756,4,3
757,4,3
758,3,3
759,4,4
760,4,3
761,3,4
762,3,4
763,3,3
764,4,3
765,4,4
766,4,3
767,3,4
768,3,3
769,4,3
770,4,3
771,3,4
772,3,4
773,3,3
774,3,3
775,3,4
776,3,4
777,4,4
778,4,4
779,4,3
780,3,4
781,4,3
782,4,3
783,3,3
784,4,4
785,3,3
786,4,3
787,3,3
788,4,3
789,4,3
790,4,3
791,3,4
792,4,4
793,3,3
794,4,3
795,3,3
796,4,4
797,3,4
798,4,3
799,3,3
800,3,4
801,3,3
802,3,3
803,4,4
804,4,3
805,4,3
806,4,4
807,3,3
808,3,3
809,4,3
810,4,3
811,4,3
812,4,4
813,3,4
814,4,3
815,3,3
816,4,3
817,3,3
818,3,3
819,3,4
820,4,4
821,4,3
822,3,3
823,3,4
824,3,3
825,3,3
826,3,3
827,3,4
828,4,4
829,4,4
830,3,4
831,4,3
832,0,3
833,3,3
834,4,4
835,3,4
836,3,4
837,4,4
838,4,4
839,3,3
840,3,4
841,4,4
842,4,3
843,4,4
844,4,3
845,4,3
846,3,3
847,0,3
848,3,4
849,3,3
850,3,3
851,3,3
852,3,3
853,4,3
854,4,4
855,3,3
856,3,4
857,3,4
858,4,4
859,4,3
860,4,3
861,4,4
862,4,4
863,4,3
864,4,4
865,4,3
866,4,3
867,4,3
868,4,4
869,3,3
870,3,3
871,3,4
872,4,4
873,4,3
874,3,3
875,3,3
876,3,4
877,4,4
878,3,3
879,4,4
880,4,4
881,4,4
882,3,4
883,4,4
884,4,4
885,4,4
886,4,3
887,3,3
888,3,4
889,3,3
890,3,4
891,3,3
892,3,4
893,4,3
894,3,4
895,3,3
896,4,4
897,4,3
898,3,3
899,3,4
900,4,4
901,4,3
902,4,4
903,4,3
904,4,4
905,0,3
906,3,3
907,4,3
908,4,4
909,3,4
910,3,4
911,3,4
912,4,3
913,4,3
914,3,3
915,4,3
916,4,4
917,3,3
918,3,3
919,4,4
920,0,3
921,3,4
922,3,3
923,4,3
924,4,4
925,4,3
926,4,3
927,3,3
928,3,4
929,3,4
930,3,3
931,4,3
932,4,3
933,4,4
934,4,4
935,4,3
936,4,3
937,3,3
938,4,3
939,3,4
940,3,3
941,3,4
942,3,3
943,4,3
944,0,4
945,3,3
946,3,0
947,3,3
948,3,3
949,3,4
950,4,4
951,4,3
952,4,4
953,3,3
954,3,3
955,4,3
956,4,3
957,4,3
958,4,3
959,3,4
960,4,3
961,3,3
962,3,3
963,4,3
964,3,4
965,4,3
966,3,4
967,4,3
968,3,4
969,2,3
970,4,3
971,3,4
972,4,4
973,3,3
974,4,3
975,4,3
976,4,3
977,0,4
978,4,4
979,3,4
980,4,4
981,3,4
982,3,4
983,4,4
984,4,3
985,4,4
986,4,4
987,3,3
988,4,4
989,3,4
990,3,3
991,4,3
992,3,3
993,2,3
994,4,4
995,4,3
996,3,3
997,4,4
998,0,4
999,3,3
